White Man's Burden,1995,R,01 Dec 1995,89 min,"Drama, Thriller",Desmond Nakano,Desmond Nakano,"John Travolta, Harry Belafonte, Kelly Lynch","In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.",English,"France, United States",N/A,https://m.media-amazon.com/images/M/MV5BYTY1ZjgzZTEtMmQwOS00NzA4LWJlOTYtNzhjNzMzMWY5NmQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Wild Bill,1995,R,01 Dec 1995,98 min,"Action, Biography, Drama",Walter Hill,"Peter Dexter, Thomas Babe, Walter Hill","Jeff Bridges, Ellen Barkin, John Hurt",The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,"English, Sioux, Cantonese",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMjI0MjI4NDkyOF5BMl5BanBnXkFtZTcwNzQ0NTg3NA@@._V1_SX300.jpg
The Browning Version,1994,R,12 Oct 1994,97 min,Drama,Mike Figgis,"Terence Rattigan, Ronald Harwood","Albert Finney, Greta Scacchi, Matthew Modine","On the verge of forced resignation, a strict old-fashioned teacher rethinks his life.","Latin, English",United Kingdom,Nominated for 1 BAFTA Award1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNDU0ZjhjNWEtYTIzNy00ZmRiLWFiNTEtODUwOTdmMjI5ZmU4XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
Bushwhacked,1995,PG-13,04 Aug 1995,90 min,"Adventure, Comedy, Crime",Greg Beeman,"John Jordan, Bobby Farrelly, Tommy Swerdlow","Daniel Stern, Jon Polito, Brad Sullivan","On the run from authorities, a sleazy courier poses as a Scout leader on a camping trip. But he has no idea what he's in for when he must actually take charge of a group of kids.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2NlODBjNWQtMDUwNC00MjAzLWFhMWYtNGFiMDliNWY5Y2M5XkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_SX300.jpg
Burnt by the Sun,1994,R,21 Apr 1995,135 min,"Drama, War",Nikita Mikhalkov,"Nikita Mikhalkov, Rustam Ibragimbekov","Nikita Mikhalkov, Ingeborga Dapkunaite, Oleg Menshikov","In the Soviet Union in 1936, shadow of Stalin's repressions lie on a famous revolution hero. The accusations of being him a foreign spy are nonsense, and all known that, but a slow process of his life's downfall is already running.","Russian, French","Russia, France",Won 1 Oscar. 4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BOTdkZjI5ZTktZjk3ZS00NTAxLWFiYzMtMzM2ZWFiNTkwMmU5XkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_SX300.jpg
Before the Rain,1994,Not Rated,24 Feb 1995,113 min,"Drama, Romance, War",Milcho Manchevski,Milcho Manchevski,"Katrin Cartlidge, Rade Serbedzija, Grégoire Colin",Three interconnected stories of love under the threat of civil war in Macedonia and London.,"Macedonian, English, Albanian, French","United Kingdom, France, North Macedonia",Nominated for 1 Oscar. 29 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTE4MWZmNmYtYmM4MS00YzcyLTllZGItNzhlNTk2ZWJlZDYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Before Sunrise,1995,R,27 Jan 1995,101 min,"Drama, Romance",Richard Linklater,"Richard Linklater, Kim Krizan","Ethan Hawke, Julie Delpy, Andrea Eckert","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","English, German, French","United States, Austria",1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Billy Madison,1995,PG-13,10 Feb 1995,89 min,Comedy,Tamra Davis,"Tim Herlihy, Adam Sandler","Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras","In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.","English, French, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Babysitter,1995,R,17 Oct 1995,90 min,"Drama, Thriller",Guy Ferland,"Robert Coover, Guy Ferland","Alicia Silverstone, Jeremy London, J.T. Walsh",A teenage babysitter is the focus of two boys and a man's separate obsessions.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY4NjgxOTI5M15BMl5BanBnXkFtZTcwNDYyNDk5MQ@@._V1_SX300.jpg
Boys on the Side,1995,R,03 Feb 1995,115 min,"Comedy, Drama",Herbert Ross,Don Roos,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore","Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close f...",English,"United States, France",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDlhZGNiNmItODQ4NS00OTk3LWI2MDctMDZmODFjN2NlODExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Cure,1995,PG-13,21 Apr 1995,97 min,"Adventure, Drama",Peter Horton,Robert Kuhn,"Joseph Mazzello, Brad Renfro, Aeryk Egan","Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BYjIyOGNkNTgtYmM4Mi00NDU4LTgzZTQtYWJlZjUxZjA2NmI4XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
Castle Freak,1995,R,14 Nov 1995,90 min,"Drama, Horror, Mystery, Thriller",Stuart Gordon,"Stuart Gordon (story), H.P. Lovecraft (story ""The Outsider""), Dennis Paoli (screenplay), Dennis Paoli (story)","Jeffrey Combs, Barbara Crampton, Jonathan Fuller, Jessica Dollarhide",A man struggles to save his family from the strange and deadly occurrences in the castle they've inherited.,"English, Italian, Swedish",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTJlOGEzNTctMTk2My00YWQwLWI2MzMtMjMxNTBmZDY4MWE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Circle of Friends,1995,PG-13,15 Mar 1995,103 min,"Drama, Romance",Pat O'Connor,"Andrew Davies, Maeve Binchy","Chris O'Donnell, Minnie Driver, Geraldine O'Rawe","Three women, who've been friends since childhood, meet at university in Dublin in 1957. Student and boyfriend life begins.",English,"Ireland, United States, United Kingdom",1 win,https://m.media-amazon.com/images/M/MV5BZWEzZGJhNmYtOTkyYi00OTJhLWE3NTItOGFiNDEwYTc4Y2U3XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg
Clerks,1994,R,09 Nov 1994,92 min,Comedy,Kevin Smith,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",English,United States,6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Don Juan DeMarco,1994,PG-13,07 Apr 1995,97 min,"Comedy, Drama, Romance",Jeremy Leven,"Lord Byron, Jeremy Leven","Johnny Depp, Marlon Brando, Faye Dunaway","A psychiatrist must cure a young patient who presents himself as Don Juan, the world's greatest lover.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Disclosure,1994,R,09 Dec 1994,128 min,"Drama, Thriller",Barry Levinson,"Michael Crichton, Paul Attanasio","Michael Douglas, Demi Moore, Donald Sutherland","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNGQxNTFkNjUtM2EwNi00ZThlLTkzMDItODhkMDIyYzM1Y2MzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Drop Zone,1994,R,09 Dec 1994,101 min,"Action, Adventure, Thriller",John Badham,"Tony Griffin, Guy Manos, Peter Barsocchini","Wesley Snipes, Gary Busey, Yancy Butler",A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGUyMWNjNGYtZmNhNS00MGQxLTlmYmMtNDE0NDhhNDk3ZTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Destiny Turns on the Radio,1995,R,28 Apr 1995,102 min,"Crime, Comedy, Fantasy",Jack Baran,"Robert Ramsey, Matthew Stone","Dylan McDermott, Nancy Travis, Quentin Tarantino","After 3 years in prison, Julian breaks out and returns to Vegas to get his half from the bank robbery and see Lucille again. The Devil took the loot and Tuerto took Lucille.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWQ5YmQ5YWUtMDYyOS00Yzk1LTg2MTktOGVmMDMzODFiMWJlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
Death and the Maiden,1994,R,27 Jan 1995,103 min,"Drama, Mystery, Thriller",Roman Polanski,"Ariel Dorfman, Rafael Yglesias","Sigourney Weaver, Ben Kingsley, Stuart Wilson",A political activist is convinced that her guest is a man who once tortured her for the government.,English,"United Kingdom, France",4 nominations,https://m.media-amazon.com/images/M/MV5BOTgzZTcwNDItYjhhMy00NmViLWFjZjEtZGQ5YWQxYzk0OWU4XkEyXkFqcGdeQXVyMjgxMzgyNjI@._V1_SX300.jpg
Dolores Claiborne,1995,R,24 Mar 1995,132 min,"Crime, Drama, Mystery",Taylor Hackford,"Stephen King, Tony Gilroy","Kathy Bates, Jennifer Jason Leigh, Christopher Plummer",A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,English,United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BNzhkNjFlNDQtMDYxNy00NGU5LWE4YmItOWIyYzg5MTNmNzcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Dumb and Dumber,1994,PG-13,16 Dec 1994,107 min,Comedy,"Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bennett Yellin, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly","After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.","English, Swedish, German",United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Eat Drink Man Woman,1994,Not Rated,03 Aug 1994,124 min,"Comedy, Drama, Romance",Ang Lee,"Ang Lee, James Schamus, Hui-Ling Wang","Sihung Lung, Kuei-Mei Yang, Yu-Wen Wang",A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,"Mandarin, French","Taiwan, United States",Nominated for 1 Oscar. 6 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMGEyNDI0OGQtMjY3Yi00NGU5LWFiNTQtNWMyZmJmNDAzMDMwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Exotica,1994,R,24 Mar 1995,103 min,Drama,Atom Egoyan,Atom Egoyan,"Bruce Greenwood, Elias Koteas, Don McKellar","A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.","English, Hebrew",Canada,16 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BM2U3MmIyODktNGYzOS00NzYwLTlkMjEtNDcxOTlmZmNjZWNmXkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_SX300.jpg
Exit to Eden,1994,R,14 Oct 1994,113 min,"Comedy, Crime, Romance",Garry Marshall,"Anne Rice, Deborah Amelon, Bob Brunner","Dana Delany, Dan Aykroyd, Rosie O'Donnell","Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMDliZWUwYzktMzU1OC00NzNmLThlODYtODhkMTc4MDkyOWE1XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
Ed Wood,1994,R,07 Oct 1994,127 min,"Biography, Comedy, Drama",Tim Burton,"Rudolph Grey, Scott Alexander, Larry Karaszewski","Johnny Depp, Martin Landau, Sarah Jessica Parker",Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.,English,United States,Won 2 Oscars. 27 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
French Kiss,1995,PG-13,05 May 1995,111 min,"Comedy, Drama, Romance",Lawrence Kasdan,Adam Brooks,"Meg Ryan, Kevin Kline, Timothy Hutton",A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,"English, French","United Kingdom, United States, France",2 nominations,https://m.media-amazon.com/images/M/MV5BMTkzMjg5MDQ3M15BMl5BanBnXkFtZTgwOTM5NTE0MDE@._V1_SX300.jpg
Forget Paris,1995,PG-13,19 May 1995,101 min,"Comedy, Romance",Billy Crystal,"Billy Crystal, Lowell Ganz, Babaloo Mandel","Billy Crystal, Debra Winger, Joe Mantegna","Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.","English, French",United States,1 win,https://m.media-amazon.com/images/M/MV5BM2ZkYTUxZjQtODhkMy00NWI3LWFlMDMtMzYzZTQ3YmFjMjg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Far from Home: The Adventures of Yellow Dog,1995,PG,13 Jan 1995,81 min,"Adventure, Family",Phillip Borsos,Phillip Borsos,"Jesse Bradford, Mimi Rogers, Bruce Davison","Angus McCormick adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with his father, John, he and Yellow become stranded when turbulent waters capsize their boat. John a...",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYThiMDFmYWUtNTdjZC00ODcwLTgzNzgtMTE0MmMxZDg3Njg0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
A Goofy Movie,1995,G,07 Apr 1995,78 min,"Animation, Adventure, Comedy",Kevin Lima,"Jymn Magon, Chris Matheson, Brian Pimental","Bill Farmer, Jason Marsden, Jim Cummings","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",English,"United States, Australia, France, Canada, Spain",5 nominations,https://m.media-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Hideaway,1995,R,03 Mar 1995,106 min,"Fantasy, Horror, Thriller",Brett Leonard,"Dean R. Koontz, Andrew Kevin Walker, Neal Jimenez","Jeff Goldblum, Christine Lahti, Alicia Silverstone","Hatch gets a special resuscitative medicine after ""dying"" in a car accident. His wife and daughter only get minor injuries. He gets strange nightmares such as killing a teen girl. Is it just dreams?",English,"United States, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMmM1OTU2MDQtZWVjMi00NmY4LWI1ZDYtZTg0ODE5YTUxNDA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Fluke,1995,PG,02 Jun 1995,96 min,"Drama, Family, Fantasy",Carlo Carlei,"James Herbert, Carlo Carlei, James Carrington","Matthew Modine, Nancy Travis, Samuel L. Jackson","After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BM2I1YzJkOWYtMzNjNC00NDA3LWFlMTktNDJkM2JmZTEzNDYxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Farinelli,1994,R,17 Mar 1995,111 min,"Biography, Drama, Music",Gérard Corbiau,"Andrée Corbiau, Gérard Corbiau, Marcel Beaulieu","Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein","The story of castrato opera singer Carlo Broschi, who enthralled 18th-century European audiences under his stage name Farinelli.","French, Italian","France, Italy, Belgium, United Kingdom",Nominated for 1 Oscar. 6 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMmE5MjllZDYtNGVmZS00YjBiLWExMDctYjMyNjUxMjY5ZGU3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Gordy,1994,G,12 May 1995,90 min,"Comedy, Drama, Family",Mark Lewis,"Jay Sommers, Dick Chevillat, Leslie Stevens","Kristy Young, Doug Stone, James Donadio",A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BN2Q0MmFkZTktZjZmMC00OWIwLTgzOGYtOTk2MTAzNzY4ZTkxXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
Hoop Dreams,1994,PG-13,14 Oct 1994,170 min,"Documentary, Drama, Sport",Steve James,"Steve James, Frederick Marx","William Gates, Arthur Agee, Emma Gates",A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,English,United States,Nominated for 1 Oscar. 23 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNmNjMTU2MzQtMzNkNy00YjQ1LTg0M2ItMzM2MDYwYmUyMjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Heavenly Creatures,1994,R,14 Oct 1994,99 min,"Biography, Crime, Drama",Peter Jackson,"Fran Walsh, Peter Jackson","Melanie Lynskey, Kate Winslet, Sarah Peirse","Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.","English, French","New Zealand, Germany",Nominated for 1 Oscar. 17 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Houseguest,1995,PG,06 Jan 1995,113 min,Comedy,Randall Miller,"Michael J. Di Gaetano, Lawrence Gay","Sinbad, Phil Hartman, Kim Greist","In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGVkZWMwZWItOWQzZS00YTU5LWJjMGUtZTM5MjdmZmQ2YTU3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Immortal Beloved,1994,R,27 Jan 1995,121 min,"Biography, Drama, Music",Bernard Rose,Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini","The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to find out who this beloved was--not easy, as...","English, Hungarian","United Kingdom, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BOTgyZTYzZGItYzIzMi00YTBkLTk0ZTktOTg2ZTM3NDcwYjAxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Heavyweights,1995,PG,17 Feb 1995,100 min,"Comedy, Drama, Family",Steven Brill,"Judd Apatow, Steven Brill","Tom McGowan, Aaron Schwartz, Ben Stiller","Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmUzMmVjZjMtMThkMS00NDRkLWJhYmQtMjcwMmJkY2ExYmQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Hunted,1995,R,24 Feb 1995,110 min,"Action, Drama, Thriller",J.F. Lawton,J.F. Lawton,"Christopher Lambert, John Lone, Joan Chen","An American businessman visiting Nagoya, Japan, meets a woman in a hotel bar. Returning to her room, 3 ninjas kill her and wound him, but he sees the ninja boss' face. Now, he's the prime target of a dangerous ninja cult.","English, Japanese",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzM0YmNlZDAtNWRmNi00ZjQ2LTkxOWItNThmYTc1OTRjNDY2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
I.Q.,1994,PG,25 Dec 1994,100 min,"Comedy, Romance",Fred Schepisi,"Andy Breckman, Michael Leeson","Tim Robbins, Meg Ryan, Walter Matthau","A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.","English, German",United States,N/A,https://m.media-amazon.com/images/M/MV5BN2VkMzZlMTctZjVlOS00NmQ1LTg1ZDItMDc5NzhlNDRhMjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Interview with the Vampire: The Vampire Chronicles,1994,R,11 Nov 1994,123 min,"Drama, Fantasy, Horror",Neil Jordan,Anne Rice,"Brad Pitt, Tom Cruise, Antonio Banderas","A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","English, French",United States,Nominated for 2 Oscars. 24 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BYThmYjJhMGItNjlmOC00ZDRiLWEzNjUtZjU4MjA3MzY0MzFmXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
